,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,3.01,87.0,40.0,9.77,CL,1661482797.0
1,mackenzie,55.2999,-123.1698,23.24,51.0,22.0,1.88,CA,1661482815.0
2,prince rupert,54.3161,-130.3201,14.05,100.0,100.0,3.09,CA,1661482961.0
3,belushya guba,,,,,,,,
4,taburi,,,,,,,,
5,faanui,-16.4833,-151.75,24.64,75.0,65.0,6.07,PF,1661482962.0
6,attawapiskat,,,,,,,,
7,tuktoyaktuk,69.4541,-133.0374,9.01,98.0,92.0,3.73,CA,1661482963.0
8,victoria,22.2855,114.1577,32.76,82.0,99.0,4.92,HK,1661482955.0
9,mataura,-46.1927,168.8643,12.49,45.0,0.0,0.19,NZ,1661482964.0
10,east london,,,,,,,,
11,dingle,,,,,,,,
12,tambun,,,,,,,,
13,chuy,,,,,,,,
14,georgetown,,,,,,,,
15,kaitangata,,,,,,,,
16,saint-pierre,,,,,,,,
17,boddam,,,,,,,,
18,rabo de peixe,,,,,,,,
19,rikitea,,,,,,,,
20,khatanga,,,,,,,,
21,san quintin,,,,,,,,
22,marzuq,,,,,,,,
23,kalmar,,,,,,,,
24,pulandian,,,,,,,,
25,hithadhoo,,,,,,,,
26,praia,,,,,,,,
27,grindavik,,,,,,,,
28,umzimvubu,,,,,,,,
29,sentyabrskiy,,,,,,,,
30,cape town,,,,,,,,
31,mudyuga,,,,,,,,
32,barentsburg,,,,,,,,
33,beloit,,,,,,,,
34,torbay,,,,,,,,
35,letka,,,,,,,,
36,aklavik,,,,,,,,
37,sorvag,,,,,,,,
38,ribeira grande,,,,,,,,
39,kodiak,,,,,,,,
40,bredasdorp,,,,,,,,
41,taolanaro,,,,,,,,
42,ilulissat,,,,,,,,
43,ushuaia,,,,,,,,
44,hobart,,,,,,,,
45,puerto ayora,,,,,,,,
46,castro,,,,,,,,
47,butaritari,,,,,,,,
48,gummidipundi,,,,,,,,
49,palabuhanratu,,,,,,,,
50,pokosnoye,,,,,,,,
51,itaituba,,,,,,,,
52,vaini,,,,,,,,
53,kattivakkam,,,,,,,,
54,airai,,,,,,,,
55,port elizabeth,,,,,,,,
56,yulara,,,,,,,,
57,denau,,,,,,,,
58,albany,,,,,,,,
59,liptovsky hradok,,,,,,,,
60,mar del plata,,,,,,,,
61,bluff,,,,,,,,
62,cherskiy,,,,,,,,
63,san patricio,,,,,,,,
64,whitehorse,,,,,,,,
65,kapaa,,,,,,,,
66,vila velha,,,,,,,,
67,esperance,,,,,,,,
68,lomza,,,,,,,,
69,qaanaaq,,,,,,,,
70,yunjinghong,,,,,,,,
71,saint george,,,,,,,,
72,namibe,,,,,,,,
73,asau,,,,,,,,
74,marfino,,,,,,,,
75,atuona,,,,,,,,
76,carnarvon,,,,,,,,
77,talnakh,,,,,,,,
78,quatre cocos,,,,,,,,
79,nikolskoye,,,,,,,,
80,nakamura,,,,,,,,
81,lockport,,,,,,,,
82,callaguip,,,,,,,,
83,smithers,,,,,,,,
84,samusu,,,,,,,,
85,pisco,,,,,,,,
86,watertown,,,,,,,,
87,hermanus,,,,,,,,
88,comodoro rivadavia,,,,,,,,
89,bernay,,,,,,,,
90,dzilam gonzalez,,,,,,,,
91,mamallapuram,,,,,,,,
92,ngukurr,,,,,,,,
93,ondjiva,,,,,,,,
94,kashi,,,,,,,,
95,halmstad,,,,,,,,
96,belaya gora,,,,,,,,
97,jamestown,,,,,,,,
98,shingu,,,,,,,,
99,fairbanks,,,,,,,,
100,hasaki,,,,,,,,
101,celestun,,,,,,,,
102,rockport,,,,,,,,
103,tsihombe,,,,,,,,
104,bambous virieux,,,,,,,,
105,sitka,,,,,,,,
106,busselton,,,,,,,,
107,tasiilaq,,,,,,,,
108,provideniya,,,,,,,,
109,arraial do cabo,,,,,,,,
110,port alfred,,,,,,,,
111,puerto madryn,,,,,,,,
112,clyde river,,,,,,,,
113,maningrida,,,,,,,,
114,mahaicony,,,,,,,,
115,hit,,,,,,,,
116,norman wells,,,,,,,,
117,pontal do parana,,,,,,,,
118,barrow,,,,,,,,
119,santa helena de goias,,,,,,,,
120,ratnagiri,,,,,,,,
121,chokurdakh,,,,,,,,
122,colares,,,,,,,,
123,tarauaca,,,,,,,,
124,lebu,,,,,,,,
125,nkhotakota,,,,,,,,
126,nizip,,,,,,,,
127,ormos korthiou,,,,,,,,
128,bad salzuflen,,,,,,,,
129,mount gambier,,,,,,,,
130,kaeo,,,,,,,,
131,kamenskoye,,,,,,,,
132,dunedin,,,,,,,,
133,taft,,,,,,,,
134,new norfolk,,,,,,,,
135,hofn,,,,,,,,
136,dukat,,,,,,,,
137,isangel,,,,,,,,
138,timberlake,,,,,,,,
139,khasan,,,,,,,,
140,miastko,,,,,,,,
141,illoqqortoormiut,,,,,,,,
142,reserva,,,,,,,,
143,quimper,,,,,,,,
144,mandan,,,,,,,,
145,otane,,,,,,,,
146,vao,,,,,,,,
147,nome,,,,,,,,
148,longyearbyen,,,,,,,,
149,sompeta,,,,,,,,
150,la ronge,,,,,,,,
151,witu,,,,,,,,
152,pochutla,,,,,,,,
153,fort nelson,,,,,,,,
154,sorong,,,,,,,,
155,skelleftea,,,,,,,,
156,avera,,,,,,,,
157,berlevag,,,,,,,,
158,panzhihua,,,,,,,,
159,kilrush,,,,,,,,
160,saint-philippe,,,,,,,,
161,vila,,,,,,,,
162,inirida,,,,,,,,
163,padang,,,,,,,,
164,kano,,,,,,,,
165,tiffin,,,,,,,,
166,avarua,,,,,,,,
167,mahibadhoo,,,,,,,,
168,puerto ayacucho,,,,,,,,
169,sola,,,,,,,,
170,sobolevo,,,,,,,,
171,alofi,,,,,,,,
172,hillsboro,,,,,,,,
173,tenenkou,,,,,,,,
174,hami,,,,,,,,
175,hilo,,,,,,,,
176,kyshtovka,,,,,,,,
177,havre-saint-pierre,,,,,,,,
178,bethel,,,,,,,,
179,polyarnyy,,,,,,,,
180,babanusah,,,,,,,,
181,yellowknife,,,,,,,,
182,petatlan,,,,,,,,
183,rungata,,,,,,,,
184,gat,,,,,,,,
185,luanda,,,,,,,,
186,paita,,,,,,,,
187,mujiayingzi,,,,,,,,
188,torres,,,,,,,,
189,saryshagan,,,,,,,,
190,tiksi,,,,,,,,
191,saint anthony,,,,,,,,
192,sao felix do xingu,,,,,,,,
193,saskylakh,,,,,,,,
194,vanavara,,,,,,,,
195,dikson,,,,,,,,
196,lang son,,,,,,,,
197,lac du bonnet,,,,,,,,
198,naze,,,,,,,,
199,santa isabel,,,,,,,,
200,arroio dos ratos,,,,,,,,
201,thinadhoo,,,,,,,,
202,inhambane,,,,,,,,
203,katsuura,,,,,,,,
204,singaraja,,,,,,,,
205,grand river south east,,,,,,,,
206,hihifo,,,,,,,,
207,bubaque,,,,,,,,
208,nanortalik,,,,,,,,
209,tatawin,,,,,,,,
210,a,,,,,,,,
211,ponta do sol,,,,,,,,
212,pueblo,,,,,,,,
213,sambava,,,,,,,,
214,orotukan,,,,,,,,
215,saint-francois,,,,,,,,
216,aban,,,,,,,,
217,miro khan,,,,,,,,
218,guerrero negro,,,,,,,,
219,sakaraha,,,,,,,,
220,asosa,,,,,,,,
221,upernavik,,,,,,,,
222,xining,,,,,,,,
223,antofagasta,,,,,,,,
224,lhokseumawe,,,,,,,,
225,kruisfontein,,,,,,,,
226,petropavlovsk-kamchatskiy,,,,,,,,
227,santo antonio do monte,,,,,,,,
228,klaksvik,,,,,,,,
229,upington,,,,,,,,
230,aracati,,,,,,,,
231,kysyl-syr,,,,,,,,
232,lompoc,,,,,,,,
233,lorengau,,,,,,,,
234,bengkulu,,,,,,,,
235,linxia,,,,,,,,
236,umm lajj,,,,,,,,
237,lavrentiya,,,,,,,,
238,pangnirtung,,,,,,,,
239,benalla,,,,,,,,
240,puerto leguizamo,,,,,,,,
241,maracaju,,,,,,,,
242,paamiut,,,,,,,,
243,souillac,,,,,,,,
244,cabo san lucas,,,,,,,,
245,makakilo city,,,,,,,,
246,san cosme y damian,,,,,,,,
247,wakkanai,,,,,,,,
248,martapura,,,,,,,,
249,karratha,,,,,,,,
250,zhigansk,,,,,,,,
251,marawi,,,,,,,,
252,ola,,,,,,,,
253,wajima,,,,,,,,
254,turukhansk,,,,,,,,
255,sabang,,,,,,,,
256,tottori,,,,,,,,
257,puerto pinasco,,,,,,,,
258,oistins,,,,,,,,
259,rio de janeiro,,,,,,,,
260,kavieng,,,,,,,,
261,severo-kurilsk,,,,,,,,
262,sebring,,,,,,,,
263,inyonga,,,,,,,,
264,el dorado,,,,,,,,
265,billings,,,,,,,,
266,warqla,,,,,,,,
267,vaitupu,,,,,,,,
268,aransas pass,,,,,,,,
269,sao desiderio,,,,,,,,
270,rio grande,,,,,,,,
271,deputatskiy,,,,,,,,
272,ust-kamchatsk,,,,,,,,
273,springbok,,,,,,,,
274,labuhan,,,,,,,,
275,qaqortoq,,,,,,,,
276,olinda,,,,,,,,
277,kibala,,,,,,,,
278,iquique,,,,,,,,
279,khorramabad,,,,,,,,
280,bereda,,,,,,,,
281,shahr-e kord,,,,,,,,
282,ancud,,,,,,,,
283,siwani,,,,,,,,
284,kabelvag,,,,,,,,
285,yuanping,,,,,,,,
286,vestmannaeyjar,,,,,,,,
287,ambon,,,,,,,,
288,virarajendrapet,,,,,,,,
289,garowe,,,,,,,,
290,chernaya kholunitsa,,,,,,,,
291,alyangula,,,,,,,,
292,lata,,,,,,,,
293,saleaula,,,,,,,,
294,taltal,,,,,,,,
295,olafsvik,,,,,,,,
296,solnechnyy,,,,,,,,
297,amderma,,,,,,,,
298,berdyuzhye,,,,,,,,
299,kurgan,,,,,,,,
300,lima,,,,,,,,
301,kargopol,,,,,,,,
302,stromness,,,,,,,,
303,kieta,,,,,,,,
304,medina del campo,,,,,,,,
305,hambantota,,,,,,,,
306,kikwit,,,,,,,,
307,geraldton,,,,,,,,
308,merauke,,,,,,,,
309,shache,,,,,,,,
310,tigzirt,,,,,,,,
311,esmeralda,,,,,,,,
312,manaure,,,,,,,,
313,constitucion,,,,,,,,
314,pec,,,,,,,,
315,pevek,,,,,,,,
316,kavaje,,,,,,,,
317,altamira,,,,,,,,
318,toftir,,,,,,,,
319,mahebourg,,,,,,,,
320,rocha,,,,,,,,
321,tezu,,,,,,,,
322,laguna,,,,,,,,
323,jamame,,,,,,,,
324,caravelas,,,,,,,,
325,palauig,,,,,,,,
326,wonthaggi,,,,,,,,
327,beloha,,,,,,,,
328,priiskovyy,,,,,,,,
329,walvis bay,,,,,,,,
330,sao miguel do oeste,,,,,,,,
331,ingham,,,,,,,,
332,cururupu,,,,,,,,
333,krasnoselkup,,,,,,,,
334,katherine,,,,,,,,
335,mayo,,,,,,,,
336,harper,,,,,,,,
337,maiduguri,,,,,,,,
338,pembroke,,,,,,,,
339,kawana waters,,,,,,,,
340,flin flon,,,,,,,,
341,tivaouane,,,,,,,,
342,inza,,,,,,,,
343,loreto,,,,,,,,
344,tumannyy,,,,,,,,
345,umm kaddadah,,,,,,,,
346,mutsamudu,,,,,,,,
347,kapit,,,,,,,,
348,tawang,,,,,,,,
349,cidreira,,,,,,,,
350,balancan,,,,,,,,
351,bollnas,,,,,,,,
352,lagoa,,,,,,,,
353,pacific grove,,,,,,,,
354,muravlenko,,,,,,,,
355,puerto baquerizo moreno,,,,,,,,
356,tutoia,,,,,,,,
357,ostrovnoy,,,,,,,,
358,chernyshevskiy,,,,,,,,
359,sao filipe,,,,,,,,
360,rio cuarto,,,,,,,,
361,tromso,,,,,,,,
362,ust-nera,,,,,,,,
363,bindura,,,,,,,,
364,alamogordo,,,,,,,,
365,saldanha,,,,,,,,
366,mount isa,,,,,,,,
367,yumen,,,,,,,,
368,russell,,,,,,,,
369,peterhead,,,,,,,,
370,dongsheng,,,,,,,,
371,kulhudhuffushi,,,,,,,,
372,helong,,,,,,,,
373,tarudant,,,,,,,,
374,nouadhibou,,,,,,,,
375,maghama,,,,,,,,
376,atbasar,,,,,,,,
377,pyu,,,,,,,,
378,truth or consequences,,,,,,,,
379,opuwo,,,,,,,,
380,mae sai,,,,,,,,
381,abha,,,,,,,,
382,pitimbu,,,,,,,,
383,cairns,,,,,,,,
384,carutapera,,,,,,,,
385,pathein,,,,,,,,
386,batemans bay,,,,,,,,
387,cognac,,,,,,,,
388,mason city,,,,,,,,
389,marinette,,,,,,,,
390,lannion,,,,,,,,
391,wittingen,,,,,,,,
392,didwana,,,,,,,,
393,dwarka,,,,,,,,
394,ust-kulom,,,,,,,,
395,axim,,,,,,,,
396,san joaquin,,,,,,,,
397,sisophon,,,,,,,,
398,sungai kolok,,,,,,,,
399,port hardy,,,,,,,,
400,peniche,,,,,,,,
401,galle,,,,,,,,
402,acapulco,,,,,,,,
403,vardo,,,,,,,,
404,ulladulla,,,,,,,,
405,lumut,,,,,,,,
406,leningradskiy,,,,,,,,
407,thompson,,,,,,,,
408,san ramon,,,,,,,,
409,the valley,,,,,,,,
410,phek,,,,,,,,
411,cap malheureux,,,,,,,,
412,zatoka,,,,,,,,
413,kuching,,,,,,,,
414,minchinabad,,,,,,,,
415,sokolo,,,,,,,,
416,otradnyy,,,,,,,,
417,majene,,,,,,,,
418,manavalakurichi,,,,,,,,
419,inderborskiy,,,,,,,,
420,neryungri,,,,,,,,
421,srednekolymsk,,,,,,,,
422,lodja,,,,,,,,
423,urumqi,,,,,,,,
424,severnyy,,,,,,,,
425,praia da vitoria,,,,,,,,
426,nantucket,,,,,,,,
427,sioux lookout,,,,,,,,
428,arkadelphia,,,,,,,,
429,tobermory,,,,,,,,
430,biak,,,,,,,,
431,maridi,,,,,,,,
432,klamath falls,,,,,,,,
433,sijunjung,,,,,,,,
434,carquefou,,,,,,,,
435,portland,,,,,,,,
436,evensk,,,,,,,,
437,tiznit,,,,,,,,
438,bambanglipuro,,,,,,,,
439,seguela,,,,,,,,
440,dibrugarh,,,,,,,,
441,trincomalee,,,,,,,,
442,concarneau,,,,,,,,
443,katobu,,,,,,,,
444,miraflores,,,,,,,,
445,belmonte,,,,,,,,
446,luebo,,,,,,,,
447,ambilobe,,,,,,,,
448,nizhneyansk,,,,,,,,
449,port moresby,,,,,,,,
450,tawkar,,,,,,,,
451,darya khan mari,,,,,,,,
452,luderitz,,,,,,,,
453,tiruppuvanam,,,,,,,,
454,rio gallegos,,,,,,,,
455,calvinia,,,,,,,,
456,kathmandu,,,,,,,,
457,najran,,,,,,,,
458,ustka,,,,,,,,
459,tanda,,,,,,,,
460,prokhorovka,,,,,,,,
461,culebra,,,,,,,,
462,sungairaya,,,,,,,,
463,afrikanda,,,,,,,,
464,mancio lima,,,,,,,,
465,nyurba,,,,,,,,
466,yeppoon,,,,,,,,
467,dawlatabad,,,,,,,,
468,vanimo,,,,,,,,
469,naryan-mar,,,,,,,,
470,el jicaro,,,,,,,,
471,kamina,,,,,,,,
472,ayakudi,,,,,,,,
473,prieska,,,,,,,,
474,sao joao da barra,,,,,,,,
475,iqaluit,,,,,,,,
476,emerald,,,,,,,,
477,pangai,,,,,,,,
478,muisne,,,,,,,,
479,tillabery,,,,,,,,
480,craigieburn,,,,,,,,
481,gravdal,,,,,,,,
482,kumluca,,,,,,,,
483,popondetta,,,,,,,,
484,haicheng,,,,,,,,
485,ironton,,,,,,,,
486,codrington,,,,,,,,
487,komsomolskiy,,,,,,,,
488,fuerte olimpo,,,,,,,,
489,arona,,,,,,,,
490,koumac,,,,,,,,
491,talaya,,,,,,,,
492,husavik,,,,,,,,
493,kahului,,,,,,,,
494,sergeyevka,,,,,,,,
495,burnie,,,,,,,,
496,namatanai,,,,,,,,
497,takoradi,,,,,,,,
498,chabahar,,,,,,,,
499,monastyryshche,,,,,,,,
500,boa vista,,,,,,,,
501,jiwani,,,,,,,,
502,kyzyl-suu,,,,,,,,
503,bagdarin,,,,,,,,
504,osakarovka,,,,,,,,
505,lesosibirsk,,,,,,,,
506,haines junction,,,,,,,,
507,cayenne,,,,,,,,
508,fredericton,,,,,,,,
509,sakakah,,,,,,,,
510,buqayq,,,,,,,,
511,sortavala,,,,,,,,
512,hegra,,,,,,,,
513,twin falls,,,,,,,,
514,along,,,,,,,,
515,augustow,,,,,,,,
516,bayshore gardens,,,,,,,,
517,evanston,,,,,,,,
518,athabasca,,,,,,,,
519,iturama,,,,,,,,
520,campbellsville,,,,,,,,
521,le port,,,,,,,,
522,nemuro,,,,,,,,
523,la palma,,,,,,,,
524,sao jose da coroa grande,,,,,,,,
525,hirara,,,,,,,,
526,zhanaozen,,,,,,,,
527,benghazi,,,,,,,,
528,tema,,,,,,,,
529,honiara,,,,,,,,
530,sao domingos,,,,,,,,
531,milos,,,,,,,,
532,bilibino,,,,,,,,
533,salta,,,,,,,,
534,ust-tsilma,,,,,,,,
535,marcona,,,,,,,,
536,karpathos,,,,,,,,
537,aleksandrov gay,,,,,,,,
538,kirensk,,,,,,,,
539,luwero,,,,,,,,
540,dingli,,,,,,,,
541,corinto,,,,,,,,
542,segovia,,,,,,,,
543,tunduru,,,,,,,,
544,tahta,,,,,,,,
545,waingapu,,,,,,,,
546,benjamin aceval,,,,,,,,
547,eureka,,,,,,,,
548,rorvik,,,,,,,,
549,aktau,,,,,,,,
550,mudanjiang,,,,,,,,
551,terra santa,,,,,,,,
552,northampton,,,,,,,,
553,samalaeulu,,,,,,,,
554,college,,,,,,,,
555,ukiah,,,,,,,,
556,san cristobal,,,,,,,,
557,alice springs,,,,,,,,
558,beidao,,,,,,,,
559,suntar,,,,,,,,
560,brae,,,,,,,,
561,biltine,,,,,,,,
562,maumere,,,,,,,,
563,andenes,,,,,,,,
564,neon monastirion,,,,,,,,
565,armizonskoye,,,,,,,,
566,hamilton,,,,,,,,
567,chebsara,,,,,,,,
568,placido de castro,,,,,,,,
569,chapais,,,,,,,,
570,liuzhou,,,,,,,,
571,chumikan,,,,,,,,
572,tura,,,,,,,,
573,vargem alta,,,,,,,,
574,pangkalanbuun,,,,,,,,
575,minatitlan,,,,,,,,
576,veraval,,,,,,,,
577,maraa,,,,,,,,
578,itamaraju,,,,,,,,
579,chimoio,,,,,,,,
580,emirdag,,,,,,,,
581,fortuna,,,,,,,,
582,roma,,,,,,,,
583,kuche,,,,,,,,
584,damghan,,,,,,,,
585,bowen,,,,,,,,
586,tuatapere,,,,,,,,
587,caraquet,,,,,,,,
588,pucallpa,,,,,,,,
589,kaka,,,,,,,,
590,yanan,,,,,,,,
591,lasa,,,,,,,,
592,laerdalsoyri,,,,,,,,
593,cortes,,,,,,,,
594,daru,,,,,,,,
595,yerbogachen,,,,,,,,
596,egvekinot,,,,,,,,
597,norton,,,,,,,,
598,bodmin,,,,,,,,
599,albertville,,,,,,,,
600,skjervoy,,,,,,,,
601,te anau,,,,,,,,
602,boende,,,,,,,,
603,bristol,,,,,,,,
604,caranavi,,,,,,,,
